scenario,generator,evaluator,category,criterion,score
fork,gpt,gpt,structural,parallel_coverage,1
fork,gpt,gpt,structural,termination_coverage,1
fork,gpt,gpt,structural,no_extra_behavior,0.5
fork,gpt,gpt,specification,actions_completeness,1
fork,gpt,gpt,specification,inputs_outputs_clarity,0.5
fork,gpt,gpt,specification,state_definitions,0.5
fork,gpt,gpt,specification,action_semantics,1
fork,gpt,gpt,specification,transaction_consistency,0.5
fork,gpt,gpt,specification,exception_handling,0.5
fork,gpt,gpt,specification,decision_conditions,1
fork,gpt,gpt,specification,termination_definitions,1
fork,gpt,swe,structural,actions_coverage,1
fork,gpt,swe,structural,decisions_coverage,1
fork,gpt,swe,structural,branches_coverage,1
fork,gpt,swe,structural,loop_coverage,1
fork,gpt,swe,structural,parallel_coverage,0.5
fork,gpt,swe,structural,termination_coverage,1
fork,gpt,swe,structural,no_extra_behavior,0.9
fork,gpt,swe,specification,actions_completeness,1
fork,gpt,swe,specification,inputs_outputs_clarity,0.9
fork,gpt,swe,specification,state_definitions,1
fork,gpt,swe,specification,action_semantics,1
fork,gpt,swe,specification,transaction_consistency,0.8
fork,gpt,swe,specification,exception_handling,1
fork,gpt,swe,specification,decision_conditions,1
fork,gpt,swe,specification,termination_definitions,1
fork,swe,claude,structural,actions_coverage,1
fork,swe,claude,structural,decisions_coverage,1
fork,swe,claude,structural,branches_coverage,1
fork,swe,claude,structural,loop_coverage,1
fork,swe,claude,structural,parallel_coverage,0.5
fork,swe,claude,structural,termination_coverage,1
fork,swe,claude,structural,no_extra_behavior,0.857
fork,swe,claude,specification,actions_completeness,1
fork,swe,claude,specification,inputs_outputs_clarity,0.5
fork,swe,claude,specification,state_definitions,0.5
fork,swe,claude,specification,action_semantics,1
fork,swe,claude,specification,transaction_consistency,1
fork,swe,claude,specification,exception_handling,0.5
fork,swe,claude,specification,decision_conditions,1
fork,swe,claude,specification,termination_definitions,1
fork,swe,gpt,structural,actions_coverage,1
fork,swe,gpt,structural,decisions_coverage,1
fork,swe,gpt,structural,branches_coverage,1
fork,swe,gpt,structural,loop_coverage,1
fork,swe,gpt,structural,parallel_coverage,0.9
fork,swe,gpt,structural,termination_coverage,1
fork,swe,gpt,structural,no_extra_behavior,0.6
fork,swe,gpt,specification,actions_completeness,1
fork,swe,gpt,specification,inputs_outputs_clarity,0.9
fork,swe,gpt,specification,state_definitions,0.8
fork,swe,gpt,specification,action_semantics,0.9
fork,swe,gpt,specification,transaction_consistency,0.6
fork,swe,gpt,specification,exception_handling,0.7
fork,swe,gpt,specification,decision_conditions,0.7
fork,swe,gpt,specification,termination_definitions,1
fork,swe,swe,structural,actions_coverage,1
fork,swe,swe,structural,decisions_coverage,1
fork,swe,swe,structural,branches_coverage,1
fork,swe,swe,structural,loop_coverage,1
fork,swe,swe,structural,parallel_coverage,1
fork,swe,swe,structural,termination_coverage,0.5
fork,swe,swe,structural,no_extra_behavior,1
fork,swe,swe,specification,actions_completeness,1
fork,swe,swe,specification,inputs_outputs_clarity,1
fork,swe,swe,specification,state_definitions,0.5
fork,swe,swe,specification,action_semantics,1
fork,swe,swe,specification,transaction_consistency,1
fork,swe,swe,specification,exception_handling,1
fork,swe,swe,specification,decision_conditions,1
fork,swe,swe,specification,termination_definitions,0.5
loop,claude,claude,structural,actions_coverage,1
loop,claude,claude,structural,decisions_coverage,1
loop,claude,claude,structural,branches_coverage,1
loop,claude,claude,structural,loop_coverage,1
loop,claude,claude,structural,parallel_coverage,1
loop,claude,claude,structural,termination_coverage,1
loop,claude,claude,structural,no_extra_behavior,0.5
loop,claude,claude,specification,actions_completeness,1
loop,claude,claude,specification,inputs_outputs_clarity,0.5
loop,claude,claude,specification,state_definitions,0.5
loop,claude,claude,specification,action_semantics,0.5
loop,claude,claude,specification,transaction_consistency,0.5
loop,claude,claude,specification,exception_handling,0.5
loop,claude,claude,specification,decision_conditions,0.5
loop,claude,claude,specification,termination_definitions,1
loop,claude,gpt,structural,actions_coverage,1
loop,claude,gpt,structural,decisions_coverage,1
loop,claude,gpt,structural,branches_coverage,1
loop,claude,gpt,structural,loop_coverage,1
loop,claude,gpt,structural,parallel_coverage,1
loop,claude,gpt,structural,termination_coverage,1
loop,claude,gpt,structural,no_extra_behavior,0.75
loop,claude,gpt,specification,actions_completeness,1
loop,claude,gpt,specification,inputs_outputs_clarity,1
loop,claude,gpt,specification,state_definitions,0.75
loop,claude,gpt,specification,action_semantics,1
loop,claude,gpt,specification,transaction_consistency,0.75
loop,claude,gpt,specification,exception_handling,0.75
loop,claude,gpt,specification,decision_conditions,1
loop,claude,gpt,specification,termination_definitions,1
loop,claude,swe,structural,actions_coverage,1
loop,claude,swe,structural,decisions_coverage,1
loop,claude,swe,structural,branches_coverage,1
loop,claude,swe,structural,loop_coverage,1
loop,claude,swe,structural,parallel_coverage,1
loop,claude,swe,structural,termination_coverage,1
loop,claude,swe,structural,no_extra_behavior,1
loop,claude,swe,specification,actions_completeness,1
loop,claude,swe,specification,inputs_outputs_clarity,1
loop,claude,swe,specification,state_definitions,1
loop,claude,swe,specification,action_semantics,1
loop,claude,swe,specification,transaction_consistency,1
loop,claude,swe,specification,exception_handling,0.5
loop,claude,swe,specification,decision_conditions,1
loop,claude,swe,specification,termination_definitions,1
loop,gpt,claude,structural,actions_coverage,1
loop,gpt,claude,structural,decisions_coverage,1
loop,gpt,claude,structural,branches_coverage,1
loop,gpt,claude,structural,loop_coverage,1
loop,gpt,claude,structural,parallel_coverage,1
loop,gpt,claude,structural,termination_coverage,1
loop,gpt,claude,structural,no_extra_behavior,0.5
loop,gpt,claude,specification,actions_completeness,1
loop,gpt,claude,specification,inputs_outputs_clarity,0.5
loop,gpt,claude,specification,state_definitions,0.5
loop,gpt,claude,specification,action_semantics,0.5
loop,gpt,claude,specification,transaction_consistency,0.5
loop,gpt,claude,specification,exception_handling,0.5
loop,gpt,claude,specification,decision_conditions,0.5
loop,gpt,claude,specification,termination_definitions,1
loop,gpt,gpt,structural,actions_coverage,1
loop,gpt,gpt,structural,decisions_coverage,1
loop,gpt,gpt,structural,branches_coverage,1
loop,gpt,gpt,structural,loop_coverage,1
loop,gpt,gpt,structural,parallel_coverage,1
loop,gpt,gpt,structural,termination_coverage,1
loop,gpt,gpt,structural,no_extra_behavior,0.5
loop,gpt,gpt,specification,actions_completeness,1
loop,gpt,gpt,specification,inputs_outputs_clarity,0.5
loop,gpt,gpt,specification,state_definitions,0.5
loop,gpt,gpt,specification,action_semantics,0.85
loop,gpt,gpt,specification,transaction_consistency,0.5
loop,gpt,gpt,specification,exception_handling,0.75
loop,gpt,gpt,specification,decision_conditions,1
loop,gpt,gpt,specification,termination_definitions,1
loop,gpt,swe,structural,actions_coverage,1
loop,gpt,swe,structural,decisions_coverage,1
loop,gpt,swe,structural,branches_coverage,1
loop,gpt,swe,structural,loop_coverage,1
loop,gpt,swe,structural,parallel_coverage,1
loop,gpt,swe,structural,termination_coverage,1
loop,gpt,swe,structural,no_extra_behavior,0.75
loop,gpt,swe,specification,actions_completeness,1
loop,gpt,swe,specification,inputs_outputs_clarity,1
loop,gpt,swe,specification,state_definitions,0.75
loop,gpt,swe,specification,action_semantics,1
loop,gpt,swe,specification,transaction_consistency,0.75
loop,gpt,swe,specification,exception_handling,0.75
loop,gpt,swe,specification,decision_conditions,1
loop,gpt,swe,specification,termination_definitions,1
loop,swe,claude,structural,actions_coverage,1
loop,swe,claude,structural,decisions_coverage,1
loop,swe,claude,structural,branches_coverage,1
loop,swe,claude,structural,loop_coverage,1
loop,swe,claude,structural,parallel_coverage,1
loop,swe,claude,structural,termination_coverage,1
loop,swe,claude,structural,no_extra_behavior,0.5
loop,swe,claude,specification,actions_completeness,1
loop,swe,claude,specification,inputs_outputs_clarity,0.5
loop,swe,claude,specification,state_definitions,0.5
loop,swe,claude,specification,action_semantics,1
loop,swe,claude,specification,transaction_consistency,0.5
loop,swe,claude,specification,exception_handling,0.5
loop,swe,claude,specification,decision_conditions,1
loop,swe,claude,specification,termination_definitions,1
loop,swe,gpt,structural,actions_coverage,1
loop,swe,gpt,structural,decisions_coverage,1
loop,swe,gpt,structural,branches_coverage,1
loop,swe,gpt,structural,loop_coverage,1
loop,swe,gpt,structural,parallel_coverage,1
loop,swe,gpt,structural,termination_coverage,0.5
loop,swe,gpt,structural,no_extra_behavior,1
loop,swe,gpt,specification,actions_completeness,1
loop,swe,gpt,specification,inputs_outputs_clarity,1
loop,swe,gpt,specification,state_definitions,0.5
loop,swe,gpt,specification,action_semantics,1
loop,swe,gpt,specification,transaction_consistency,1
loop,swe,gpt,specification,exception_handling,0.5
loop,swe,gpt,specification,decision_conditions,1
loop,swe,gpt,specification,termination_definitions,1
loop,swe,swe,structural,actions_coverage,1
loop,swe,swe,structural,decisions_coverage,1
loop,swe,swe,structural,branches_coverage,1
loop,swe,swe,structural,loop_coverage,1
loop,swe,swe,structural,parallel_coverage,1
loop,swe,swe,structural,termination_coverage,1
loop,swe,swe,structural,no_extra_behavior,1
loop,swe,swe,specification,actions_completeness,1
loop,swe,swe,specification,inputs_outputs_clarity,1
loop,swe,swe,specification,state_definitions,0.75
loop,swe,swe,specification,action_semantics,1
loop,swe,swe,specification,transaction_consistency,1
loop,swe,swe,specification,exception_handling,1
loop,swe,swe,specification,decision_conditions,1
loop,swe,swe,specification,termination_definitions,1
simple,claude,claude,structural,actions_coverage,1
simple,claude,claude,structural,decisions_coverage,1
simple,claude,claude,structural,branches_coverage,1
simple,claude,claude,structural,loop_coverage,1
simple,claude,claude,structural,parallel_coverage,1
simple,claude,claude,structural,termination_coverage,1
simple,claude,claude,structural,no_extra_behavior,0.5
simple,claude,claude,specification,actions_completeness,1
simple,claude,claude,specification,inputs_outputs_clarity,0.5
simple,claude,claude,specification,state_definitions,0.5
simple,claude,claude,specification,action_semantics,1
simple,claude,claude,specification,transaction_consistency,1
simple,claude,claude,specification,exception_handling,0.5
simple,claude,claude,specification,decision_conditions,0.5
simple,claude,claude,specification,termination_definitions,1
simple,claude,gpt,structural,actions_coverage,1
simple,claude,gpt,structural,decisions_coverage,1
simple,claude,gpt,structural,branches_coverage,1
simple,claude,gpt,structural,loop_coverage,1
simple,claude,gpt,structural,parallel_coverage,1
simple,claude,gpt,structural,termination_coverage,1
simple,claude,gpt,structural,no_extra_behavior,0.5
simple,claude,gpt,specification,actions_completeness,1
simple,claude,gpt,specification,inputs_outputs_clarity,0.5
simple,claude,gpt,specification,state_definitions,0.5
simple,claude,gpt,specification,action_semantics,0.5
simple,claude,gpt,specification,transaction_consistency,1
simple,claude,gpt,specification,exception_handling,0.5
simple,claude,gpt,specification,decision_conditions,0.5
simple,claude,gpt,specification,termination_definitions,1
simple,claude,swe,structural,actions_coverage,1
simple,claude,swe,structural,decisions_coverage,1
simple,claude,swe,structural,branches_coverage,1
simple,claude,swe,structural,loop_coverage,1
simple,claude,swe,structural,parallel_coverage,1
simple,claude,swe,structural,termination_coverage,1
simple,claude,swe,structural,no_extra_behavior,1
simple,claude,swe,specification,actions_completeness,1
simple,claude,swe,specification,inputs_outputs_clarity,1
simple,claude,swe,specification,state_definitions,1
simple,claude,swe,specification,action_semantics,1
simple,claude,swe,specification,transaction_consistency,1
simple,claude,swe,specification,exception_handling,0.5
simple,claude,swe,specification,decision_conditions,1
simple,claude,swe,specification,termination_definitions,1
simple,gpt,claude,structural,actions_coverage,1
simple,gpt,claude,structural,decisions_coverage,1
simple,gpt,claude,structural,branches_coverage,1
simple,gpt,claude,structural,loop_coverage,1
simple,gpt,claude,structural,parallel_coverage,1
simple,gpt,claude,structural,termination_coverage,1
simple,gpt,claude,structural,no_extra_behavior,1
simple,gpt,claude,specification,actions_completeness,1
simple,gpt,claude,specification,inputs_outputs_clarity,0.5
simple,gpt,claude,specification,state_definitions,0.5
simple,gpt,claude,specification,action_semantics,1
simple,gpt,claude,specification,transaction_consistency,0.5
simple,gpt,claude,specification,exception_handling,0.5
simple,gpt,claude,specification,decision_conditions,1
simple,gpt,claude,specification,termination_definitions,1
simple,gpt,gpt,structural,actions_coverage,1
simple,gpt,gpt,structural,decisions_coverage,1
simple,gpt,gpt,structural,branches_coverage,1
simple,gpt,gpt,structural,loop_coverage,1
simple,gpt,gpt,structural,parallel_coverage,1
simple,gpt,gpt,structural,termination_coverage,1
simple,gpt,gpt,structural,no_extra_behavior,1
simple,gpt,gpt,specification,actions_completeness,1
simple,gpt,gpt,specification,inputs_outputs_clarity,1
simple,gpt,gpt,specification,state_definitions,0.5
simple,gpt,gpt,specification,action_semantics,1
simple,gpt,gpt,specification,transaction_consistency,1
simple,gpt,gpt,specification,exception_handling,0.5
simple,gpt,gpt,specification,decision_conditions,1
simple,gpt,gpt,specification,termination_definitions,1
simple,gpt,swe,structural,actions_coverage,1
simple,gpt,swe,structural,decisions_coverage,1
simple,gpt,swe,structural,branches_coverage,1
simple,gpt,swe,structural,loop_coverage,1
simple,gpt,swe,structural,parallel_coverage,1
simple,gpt,swe,structural,termination_coverage,1
simple,gpt,swe,structural,no_extra_behavior,1
simple,gpt,swe,specification,actions_completeness,1
simple,gpt,swe,specification,inputs_outputs_clarity,1
simple,gpt,swe,specification,state_definitions,0.75
simple,gpt,swe,specification,action_semantics,1
simple,gpt,swe,specification,transaction_consistency,1
simple,gpt,swe,specification,exception_handling,1
simple,gpt,swe,specification,decision_conditions,1
simple,gpt,swe,specification,termination_definitions,1
simple,swe,claude,structural,actions_coverage,1
simple,swe,claude,structural,decisions_coverage,1
simple,swe,claude,structural,branches_coverage,1
simple,swe,claude,structural,loop_coverage,1
simple,swe,claude,structural,parallel_coverage,1
simple,swe,claude,structural,termination_coverage,1
simple,swe,claude,structural,no_extra_behavior,0
simple,swe,claude,specification,actions_completeness,1
simple,swe,claude,specification,inputs_outputs_clarity,0.5
simple,swe,claude,specification,state_definitions,1
simple,swe,claude,specification,action_semantics,0.5
simple,swe,claude,specification,transaction_consistency,1
simple,swe,claude,specification,exception_handling,0.5
simple,swe,claude,specification,decision_conditions,0.5
simple,swe,claude,specification,termination_definitions,1
simple,swe,gpt,structural,actions_coverage,1
simple,swe,gpt,structural,decisions_coverage,1
simple,swe,gpt,structural,branches_coverage,1
simple,swe,gpt,structural,loop_coverage,1
simple,swe,gpt,structural,parallel_coverage,1
simple,swe,gpt,structural,termination_coverage,1
simple,swe,gpt,structural,no_extra_behavior,0.5
simple,swe,gpt,specification,actions_completeness,1
simple,swe,gpt,specification,inputs_outputs_clarity,1
simple,swe,gpt,specification,state_definitions,0.5
simple,swe,gpt,specification,action_semantics,1
simple,swe,gpt,specification,transaction_consistency,0.5
simple,swe,gpt,specification,exception_handling,0.5
simple,swe,gpt,specification,decision_conditions,1
simple,swe,gpt,specification,termination_definitions,1
simple,swe,swe,structural,actions_coverage,1
simple,swe,swe,structural,decisions_coverage,1
simple,swe,swe,structural,branches_coverage,1
simple,swe,swe,structural,loop_coverage,1
simple,swe,swe,structural,parallel_coverage,1
simple,swe,swe,structural,termination_coverage,1
simple,swe,swe,structural,no_extra_behavior,1
simple,swe,swe,specification,actions_completeness,1
simple,swe,swe,specification,inputs_outputs_clarity,1
simple,swe,swe,specification,state_definitions,0.5
simple,swe,swe,specification,action_semantics,1
simple,swe,swe,specification,transaction_consistency,1
simple,swe,swe,specification,exception_handling,0.5
simple,swe,swe,specification,decision_conditions,1
simple,swe,swe,specification,termination_definitions,1
trycatch,claude,claude,structural,actions_coverage,1
trycatch,claude,claude,structural,decisions_coverage,1
trycatch,claude,claude,structural,branches_coverage,0.5
trycatch,claude,claude,structural,loop_coverage,1
trycatch,claude,claude,structural,parallel_coverage,1
trycatch,claude,claude,structural,termination_coverage,1
trycatch,claude,claude,structural,no_extra_behavior,1
trycatch,claude,claude,specification,actions_completeness,0.5
trycatch,claude,claude,specification,inputs_outputs_clarity,0.5
trycatch,claude,claude,specification,state_definitions,0.5
trycatch,claude,claude,specification,action_semantics,1
trycatch,claude,claude,specification,transaction_consistency,1
trycatch,claude,claude,specification,exception_handling,0.5
trycatch,claude,claude,specification,decision_conditions,0
trycatch,claude,claude,specification,termination_definitions,1
trycatch,claude,gpt,structural,actions_coverage,1
trycatch,claude,gpt,structural,decisions_coverage,1
trycatch,claude,gpt,structural,branches_coverage,0.9
trycatch,claude,gpt,structural,loop_coverage,1
trycatch,claude,gpt,structural,parallel_coverage,1
trycatch,claude,gpt,structural,termination_coverage,1
trycatch,claude,gpt,structural,no_extra_behavior,0.6
trycatch,claude,gpt,specification,actions_completeness,1
trycatch,claude,gpt,specification,inputs_outputs_clarity,0.9
trycatch,claude,gpt,specification,state_definitions,0.8
trycatch,claude,gpt,specification,action_semantics,0.9
trycatch,claude,gpt,specification,transaction_consistency,1
trycatch,claude,gpt,specification,exception_handling,0.7
trycatch,claude,gpt,specification,decision_conditions,0.6
trycatch,claude,gpt,specification,termination_definitions,1
trycatch,claude,swe,structural,actions_coverage,1
trycatch,claude,swe,structural,decisions_coverage,1
trycatch,claude,swe,structural,branches_coverage,1
trycatch,claude,swe,structural,loop_coverage,1
trycatch,claude,swe,structural,parallel_coverage,1
trycatch,claude,swe,structural,termination_coverage,1
trycatch,claude,swe,structural,no_extra_behavior,1
trycatch,claude,swe,specification,actions_completeness,1
trycatch,claude,swe,specification,inputs_outputs_clarity,0.5
trycatch,claude,swe,specification,state_definitions,1
trycatch,claude,swe,specification,action_semantics,1
trycatch,claude,swe,specification,transaction_consistency,1
trycatch,claude,swe,specification,exception_handling,1
trycatch,claude,swe,specification,decision_conditions,0.5
trycatch,claude,swe,specification,termination_definitions,1
trycatch,gpt,claude,structural,actions_coverage,1
trycatch,gpt,claude,structural,decisions_coverage,1
trycatch,gpt,claude,structural,branches_coverage,1
trycatch,gpt,claude,structural,loop_coverage,0.5
trycatch,gpt,claude,structural,parallel_coverage,1
trycatch,gpt,claude,structural,termination_coverage,1
trycatch,gpt,claude,structural,no_extra_behavior,0.5
trycatch,gpt,claude,specification,actions_completeness,0.5
trycatch,gpt,claude,specification,inputs_outputs_clarity,0.5
trycatch,gpt,claude,specification,state_definitions,0.5
trycatch,gpt,claude,specification,action_semantics,1
trycatch,gpt,claude,specification,transaction_consistency,0.5
trycatch,gpt,claude,specification,exception_handling,0.5
trycatch,gpt,claude,specification,decision_conditions,0
trycatch,gpt,claude,specification,termination_definitions,0.5
trycatch,gpt,gpt,structural,actions_coverage,1
trycatch,gpt,gpt,structural,decisions_coverage,1
trycatch,gpt,gpt,structural,branches_coverage,0.9
trycatch,gpt,gpt,structural,loop_coverage,1
trycatch,gpt,gpt,structural,parallel_coverage,1
trycatch,gpt,gpt,structural,termination_coverage,1
trycatch,gpt,gpt,structural,no_extra_behavior,0.6
trycatch,gpt,gpt,specification,actions_completeness,1
trycatch,gpt,gpt,specification,inputs_outputs_clarity,0.5
trycatch,gpt,gpt,specification,state_definitions,0.5
trycatch,gpt,gpt,specification,action_semantics,0.75
trycatch,gpt,gpt,specification,transaction_consistency,1
trycatch,gpt,gpt,specification,exception_handling,0.5
trycatch,gpt,gpt,specification,decision_conditions,0.25
trycatch,gpt,gpt,specification,termination_definitions,1
trycatch,gpt,swe,structural,actions_coverage,1
trycatch,gpt,swe,structural,decisions_coverage,1
trycatch,gpt,swe,structural,branches_coverage,1
trycatch,gpt,swe,structural,loop_coverage,1
trycatch,gpt,swe,structural,parallel_coverage,1
trycatch,gpt,swe,structural,termination_coverage,1
trycatch,gpt,swe,structural,no_extra_behavior,1
trycatch,gpt,swe,specification,actions_completeness,1
trycatch,gpt,swe,specification,inputs_outputs_clarity,0.5
trycatch,gpt,swe,specification,state_definitions,1
trycatch,gpt,swe,specification,action_semantics,1
trycatch,gpt,swe,specification,transaction_consistency,1
trycatch,gpt,swe,specification,exception_handling,1
trycatch,gpt,swe,specification,decision_conditions,1
trycatch,gpt,swe,specification,termination_definitions,1
trycatch,swe,claude,structural,actions_coverage,1
trycatch,swe,claude,structural,decisions_coverage,0.5
trycatch,swe,claude,structural,branches_coverage,0.5
trycatch,swe,claude,structural,loop_coverage,1
trycatch,swe,claude,structural,parallel_coverage,1
trycatch,swe,claude,structural,termination_coverage,1
trycatch,swe,claude,structural,no_extra_behavior,0.5
trycatch,swe,claude,specification,actions_completeness,0.5
trycatch,swe,claude,specification,inputs_outputs_clarity,0.5
trycatch,swe,claude,specification,state_definitions,0.5
trycatch,swe,claude,specification,action_semantics,1
trycatch,swe,claude,specification,transaction_consistency,0.5
trycatch,swe,claude,specification,exception_handling,0.5
trycatch,swe,claude,specification,decision_conditions,0.5
trycatch,swe,claude,specification,termination_definitions,1
trycatch,swe,gpt,structural,actions_coverage,1
trycatch,swe,gpt,structural,decisions_coverage,0.5
trycatch,swe,gpt,structural,branches_coverage,0.5
trycatch,swe,gpt,structural,loop_coverage,1
trycatch,swe,gpt,structural,parallel_coverage,1
trycatch,swe,gpt,structural,termination_coverage,1
trycatch,swe,gpt,structural,no_extra_behavior,1
trycatch,swe,gpt,specification,actions_completeness,1
trycatch,swe,gpt,specification,inputs_outputs_clarity,0.5
trycatch,swe,gpt,specification,state_definitions,0.5
trycatch,swe,gpt,specification,action_semantics,0.5
trycatch,swe,gpt,specification,transaction_consistency,0.5
trycatch,swe,gpt,specification,exception_handling,0.5
trycatch,swe,gpt,specification,decision_conditions,0
trycatch,swe,gpt,specification,termination_definitions,1
trycatch,swe,swe,structural,actions_coverage,1
trycatch,swe,swe,structural,decisions_coverage,0.5
trycatch,swe,swe,structural,branches_coverage,1
trycatch,swe,swe,structural,loop_coverage,1
trycatch,swe,swe,structural,parallel_coverage,1
trycatch,swe,swe,structural,termination_coverage,1
trycatch,swe,swe,structural,no_extra_behavior,0.5
trycatch,swe,swe,specification,actions_completeness,1
trycatch,swe,swe,specification,inputs_outputs_clarity,0.5
trycatch,swe,swe,specification,state_definitions,1
trycatch,swe,swe,specification,action_semantics,1
trycatch,swe,swe,specification,transaction_consistency,0.5
trycatch,swe,swe,specification,exception_handling,0.5
trycatch,swe,swe,specification,decision_conditions,0.5
trycatch,swe,swe,specification,termination_definitions,1
